Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
11337,The Bluest Eye,Toni Morrison,"Morrison, Toni",,"=""0452287065""","=""9780452287068""",0,4.10,Plume,Paperback,216,2005,1970,,2022/10/19,to-read,to-read (#50),to-read,,,,0,0
43323704,Where the Crawdads Sing,Delia Owens,"Owens, Delia",,"=""1472154665""","=""9781472154668""",5,4.43,Corsair,Paperback,368,2019,2018,,2022/05/19,favorites,favorites (#3),read,,,,1,0
53036105,A Clean Marriage,Sayaka Murata,"Murata, Sayaka",Ginny Tapley Takemori,"=""""","=""""",3,3.60,Granta Magazine,,,2015,,2022/10/18,2022/10/17,,,read,"Murata, you are one weird woman. But your weird writing is coveted",,,1,0
21853621,The Nightingale,Kristin Hannah,"Hannah, Kristin",,"=""0312577222""","=""9780312577223""",0,4.59,St. Martin's Press,Hardcover,440,2015,2015,,2022/10/17,to-read,to-read (#49),to-read,,,,0,0
23437156,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,"Bardugo, Leigh",,"=""""","=""""",0,4.49,Henry Holt & Company,Hardcover,465,2015,2015,,2022/10/17,to-read,to-read (#48),to-read,,,,0,0
35031085,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,"Shelley, Mary Wollstonecraft",Charlotte Gordon,"=""""","=""""",0,3.84,Penguin Classics,Paperback,260,2018,1818,,2021/08/02,currently-reading,currently-reading (#1),currently-reading,,,,1,0
56927764,Heaven,Mieko Kawakami,"Kawakami, Mieko","Sam Bett, David  Boyd","=""1509898247""","=""9781509898244""",0,3.83,Picador,Paperback,167,2021,2009,,2022/09/28,to-read,to-read (#45),to-read,,,,0,0
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""0593321200""","=""9780593321201""",5,4.36,Knopf Publishing Group,Hardcover,401,2022,2022,2022/10/15,2022/09/14,favorites,favorites (#6),read,"‘How do you see it?’<br/><br/>Amazing.<br/><br/>I think I may be the perfect target audience for this book - someone who has grew up, and partially been brought up, with games. Games to escape, games to celebrate, games to compete, games to play. I also work as a programmer - the infinite gaming and technology references weren’t lost on me, and definitely made me smile (and even exhale sharply from my nose) whilst reading. I also coincidentally had a broken foot whilst reading this (as does one of this books main characters, Sam, which helped to make him even more relatable)<br/><br/>Tomorrow, and tomorrow, and tomorrow is a love story that isn’t a love story. It’s brutally real and raw. Life isn’t perfect - we don’t live in a made up, idealistic video game world - and Zevin fully explores that, taking us through the high highs and the low lows that reality forces us to embrace and endure. <br/><br/>This book is truly special, and will be one I will cherish fondly<br/><br/>5/5",,,1,0
11298,"A Wild Sheep Chase (The Rat, #3)",Haruki Murakami,"Murakami, Haruki",Alfred Birnbaum,"=""037571894X""","=""9780375718946""",0,3.94,Vintage,Paperback,353,2002,1982,,2022/10/15,to-read,to-read (#47),to-read,,,,0,0
11870085,The Fault in Our Stars,John Green,"Green, John",,"=""""","=""""",4,4.16,Dutton Books,Hardcover,313,2012,2012,,2018/07/18,,,read,,,,1,0
